2024-10-16 19:16:16,941 | INFO | django.utils.autoreload | L:\Python\UU-kurs\Module20-Diplom\ImageGenerator\KandiGen\utilities.py changed, reloading.
2024-10-16 19:16:17,428 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-10-16 19:17:36,445 | INFO | root | Удалены все Word: 109, 147
2024-10-16 19:17:36,508 | INFO | root | Добавлена связь Word (2079) - Image ([10]): , (<Word_Image: 2103>, True)
2024-10-16 19:17:36,508 | INFO | root | Добавлено слово boy: boy, количество: 1
2024-10-16 19:17:36,566 | INFO | root | Добавлена связь Word (2080) - Image ([11]): , (<Word_Image: 2104>, True)
2024-10-16 19:17:36,566 | INFO | root | Добавлено слово gerl: gerl, количество: 1
2024-10-16 19:17:36,617 | INFO | root | Добавлена связь Word (2081) - Image ([13]): , (<Word_Image: 2105>, True)
2024-10-16 19:17:36,617 | INFO | root | Добавлено слово тест: тест, количество: 1
2024-10-16 19:17:36,667 | INFO | root | Добавлена связь Word (2082) - Image ([13]): , (<Word_Image: 2106>, True)
2024-10-16 19:17:36,667 | INFO | root | Добавлено слово генерации: генерации, количество: 1
2024-10-16 19:17:36,823 | INFO | root | Добавлена связь Word (2083) - Image ([14, 15, 18, 72]): , (<Word_Image: 2107>, True), (<Word_Image: 2108>, True), (<Word_Image: 2109>, True), (<Word_Image: 2110>, True)
2024-10-16 19:17:36,823 | INFO | root | Добавлено слово очень: очень, количество: 1
2024-10-16 19:17:36,881 | INFO | root | Добавлена связь Word (2084) - Image ([14]): , (<Word_Image: 2111>, True)
2024-10-16 19:17:36,881 | INFO | root | Добавлено слово красивые: красивые, количество: 1
2024-10-16 19:17:36,939 | INFO | root | Добавлена связь Word (2085) - Image ([14]): , (<Word_Image: 2112>, True)
2024-10-16 19:17:36,939 | INFO | root | Добавлено слово цветы: цветы, количество: 1
2024-10-16 19:17:37,407 | INFO | root | Добавлена связь Word (2086) - Image ([14, 17, 37, 39, 39, 46, 47, 57, 66, 81, 89]): , (<Word_Image: 2113>, True), (<Word_Image: 2114>, True), (<Word_Image: 2115>, True), (<Word_Image: 2116>, True), (<Word_Image: 2116>, False), (<Word_Image: 2117>, True), (<Word_Image: 2118>, True), (<Word_Image: 2119>, True), (<Word_Image: 2120>, True), (<Word_Image: 2121>, True), (<Word_Image: 2122>, True)
2024-10-16 19:17:37,407 | INFO | root | Добавлено слово в: в, количество: 1
2024-10-16 19:17:37,495 | INFO | root | Добавлена связь Word (2087) - Image ([14, 39]): , (<Word_Image: 2123>, True), (<Word_Image: 2124>, True)
2024-10-16 19:17:37,495 | INFO | root | Добавлено слово поле: поле, количество: 1
2024-10-16 19:17:37,582 | INFO | root | Добавлена связь Word (2088) - Image ([14, 39]): , (<Word_Image: 2125>, True), (<Word_Image: 2126>, True)
2024-10-16 19:17:37,582 | INFO | root | Добавлено слово бабочки: бабочки, количество: 1
2024-10-16 19:17:37,640 | INFO | root | Добавлена связь Word (2089) - Image ([14]): , (<Word_Image: 2127>, True)
2024-10-16 19:17:37,640 | INFO | root | Добавлено слово волшебство: волшебство, количество: 1
2024-10-16 19:17:37,707 | INFO | root | Добавлена связь Word (2090) - Image ([15]): , (<Word_Image: 2128>, True)
2024-10-16 19:17:37,707 | INFO | root | Добавлено слово много: много, количество: 1
2024-10-16 19:17:37,773 | INFO | root | Добавлена связь Word (2091) - Image ([15]): , (<Word_Image: 2129>, True)
